phenotype	ACAE_32d	alexxela_64d	ACAE_2d	alexxela_2d
confluent	1.2300649634336822	1.271523050558386	1.2524067213400416	1.2608908388782456
cytokinesis	1.5103790449811678	1.4154086436173694	1.5854963548084735	1.5943255442984137
negative	0.8819325950247664	0.9675286520172296	0.9898744207324331	0.9843678773042972
nuclear_mess	1.528858685724952	1.5288293728802165	1.5150233693637891	1.5407845542911291
large_nuclei	1.2045868502267891	1.2008114699693764	1.3446779196250382	1.3141753264782794
other	0.8968244733041385	0.924118827265558	0.9203928289085443	0.9251895883576284
micronuclei	1.3575778227069102	1.3757569619679213	1.41594977703567	1.404928667759241
spindle	0.9966928785362472	0.9687317386067872	0.9716538047125536	0.9751648157810441
normal	0.3053099505504672	0.7610571302194117	0.9338918746672041	0.8818589546601204
Y	1.277134736589431	1.248395815552212	1.1796885612106764	1.177884325838572
binucleated	1.1685420158135507	1.1335686517696804	1.3047920884218407	1.2933399796058604
new_neg	1.0	1.0	1.0	1.0
polarity	1.1663216539106964	1.1320551658642382	1.0991957444326528	1.1107176875006668
croissant	1.1252581424032435	1.1436297982538155	1.115204777431965	1.1196479721123027
